Instance,datetime,WS,WD,TMP,RH
CHI2015,23-03-2014 16:00,12.96,337,29.5,51.6
CHI2015,23-03-2014 17:00,9.72,337,28.899999618530273,52.6
CHI2015,23-03-2014 18:00,4.68,292,30.100000381469727,43.6
CHI2015,23-03-2014 19:00,6.48,157,29.200000762939453,41.0
CHI2015,23-03-2014 20:00,7.92,157,30.299999237060547,42.8
CHI2015,23-03-2014 21:00,9.72,157,29.399999618530273,63.0
CHI2015,23-03-2014 22:00,9.72,157,28.5,63.8
CHI2015,23-03-2014 23:00,9.72,157,28.799999237060547,54.6
CHI2015,24-03-2014 0:00,11.16,180,28.700000762939453,57.0
CHI2015,24-03-2014 1:00,9.72,157,31.700000762939453,38.2
CHI2015,24-03-2014 2:00,9.72,202,28.399999618530273,60.6
CHI2015,24-03-2014 3:00,7.92,180,28.5,63.8
CHI2015,24-03-2014 4:00,9.72,157,28.899999618530273,47.4
CHI2015,24-03-2014 5:00,7.92,157,30.799999237060547,54.4
CHI2015,24-03-2014 6:00,9.72,157,30.399999618530273,39.2
CHI2015,24-03-2014 7:00,4.68,157,31.700000762939453,38.2
CHI2015,24-03-2014 8:00,3.24,112,31.799999237060547,34.2
CHI2015,24-03-2014 9:00,3.24,337,34.70000076293945,29.6
CHI2015,24-03-2014 10:00,4.68,337,29.200000762939453,41.0
CHI2015,24-03-2014 11:00,7.92,337,28.299999237060547,25.8
CHI2015,24-03-2014 12:00,11.16,315,28.299999237060547,63.8
CHI2015,24-03-2014 13:00,12.96,337,31.399999618530273,39.0
CHI2015,24-03-2014 14:00,12.96,337,34.70000076293945,29.6
CHI2015,24-03-2014 15:00,12.96,337,28.399999618530273,60.6
CHI2015,24-03-2014 16:00,12.96,337,28.200000762939453,67.6
CHI2015,24-03-2014 17:00,11.16,337,31.700000762939453,38.2
CHI2015,24-03-2014 18:00,4.68,315,33.0,37.0
CHI2015,24-03-2014 19:00,7.92,180,31.600000381469727,37.6
CHI2015,24-03-2014 20:00,7.92,135,31.100000381469727,41.0
CHI2015,24-03-2014 21:00,9.72,157,31.799999237060547,38.8
CHI2015,24-03-2014 22:00,11.16,157,31.600000381469727,39.0
CHI2015,24-03-2014 23:00,11.16,180,31.799999237060547,38.8
CHI2015,25-03-2014 0:00,11.16,157,31.799999237060547,34.2
