Scenario,datetime,WS,WD,TM,RH
DMC 72,2024-01-22 14:00:00,33.8,19.0,26.4,35.5
DMC 72,2024-01-22 15:00:00,34.1,46.0,26.7,33.3
DMC 72,2024-01-22 16:00:00,30.9,15.0,27.0,32.0
DMC 72,2024-01-22 17:00:00,31.2,353.0,26.3,32.4
DMC 72,2024-01-22 18:00:00,32.3,358.0,24.9,36.2
DMC 72,2024-01-22 19:00:00,23.4,19.0,23.1,41.0
DMC 72,2024-01-22 20:00:00,25.7,30.0,20.6,55.7
DMC 72,2024-01-22 21:00:00,22.9,2.0,18.4,65.6
DMC 72,2024-01-22 22:00:00,26.7,15.0,16.9,67.5
DMC 72,2024-01-22 23:00:00,24.3,15.0,15.9,68.1
DMC 72,2024-01-23 00:00:00,20.2,3.0,14.9,70.7
DMC 72,2024-01-23 01:00:00,16.8,355.0,13.9,74.8
