fueltype,lat,lon,elev,ws,waz,ps,saz,cur,cbd,cbh,ccf,ftypeN,fmc,py,jd,jd_min,pc,pdf,time,ffmc,bui,gfl,pattern,
PCH,51.621244,-115.608378,134.000000,,,6.484347,234.473862,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,141.037979,,,11.032893,254.113892,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,148.151901,,,8.258949,275.591400,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,152.000000,,,3.639713,307.555756,,,,,3,,,,,,,20,,,,,
PCH,51.621244,-115.608378,152.000000,,,4.064847,349.369934,,,,,3,,,,,,,20,,,,,
PCH,51.621244,-115.608378,153.000000,,,5.181608,351.679504,,,,,3,,,,,,,20,,,,,
PCH,51.621244,-115.608378,153.000000,,,10.807904,70.594177,,,,,3,,,,,,,20,,,,,
PCH,51.621244,-115.608378,139.405060,,,18.988281,87.742676,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,127.696205,,,8.311328,86.473579,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,128.341766,,,1.452739,263.263794,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,129.620255,,,8.545394,356.688873,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,129.000000,,,16.347555,5.697943,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,127.455696,,,6.237409,3.489680,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,128.493668,,,11.105765,262.111633,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,142.126587,,,18.200064,277.291687,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,152.569626,,,17.782249,310.292908,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,160.215195,,,15.712687,323.616028,,,,,3,,,,,,,20,,,,,
PCH,51.621244,-115.608378,165.000000,,,0.962600,99.588356,,,,,3,,,,,,,20,,,,,
PCH,51.621244,-115.608378,158.949371,,,24.374306,120.353363,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,136.949371,,,24.594486,103.077759,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,127.000000,,,2.515750,88.861855,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,133.594940,,,4.251426,310.223389,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,131.329117,,,6.480414,24.579798,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,130.000000,,,2.604321,68.907410,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,128.088608,,,0.752753,95.050629,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,129.000000,,,3.673213,270.000000,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,132.987335,,,1.648011,334.408264,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,129.949371,,,4.027705,68.199493,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,128.000000,,,1.641922,62.902851,,,,,5,,,,,,,20,,,,,
PCH,51.621244,-115.608378,128.000000,,,0.749830,270.000000,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,129.000000,,,1.034585,238.561859,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,129.177216,,,13.036624,328.531952,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,138.075943,,,33.733685,297.657166,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,169.025314,,,44.052631,285.288879,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,194.746841,,,42.168842,278.586029,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,224.632904,,,42.366081,272.292358,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,251.202530,,,37.042377,271.069000,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,274.025330,,,21.251831,274.855255,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,279.443024,,,20.867422,306.205719,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,296.481018,,,3.607395,18.405149,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,277.924042,,,16.595543,16.411547,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,290.227844,,,22.490225,317.493927,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,298.189880,,,30.631195,306.267181,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,323.164551,,,19.647818,283.599670,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,323.658234,,,21.501385,36.359570,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,306.164551,,,22.263309,48.251808,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,301.506317,,,20.604879,80.325470,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,279.075958,,,22.534084,69.515121,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,273.354431,,,24.108501,42.683826,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,257.278473,,,14.524147,2.247133,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,272.594940,,,21.984646,325.377838,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,273.936707,,,13.442863,328.832306,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,281.873413,,,41.196583,288.335510,,,,,4,,,,,,,20,,,,,
MT0,51.621244,-115.608378,326.088593,,,50.575706,272.606628,,,,,6,,,,,,,20,,,,,
MT0,51.621244,-115.608378,349.253174,,,31.283644,279.988251,,,,,6,,,,,,,20,,,,,
MT0,51.621244,-115.608378,367.177216,,,31.463831,320.602112,,,,,6,,,,,,,20,,,,,
MT0,51.621244,-115.608378,375.886078,,,46.552860,315.544769,,,,,6,,,,,,,20,,,,,
MT0,51.621244,-115.608378,410.658234,,,43.487579,310.151703,,,,,6,,,,,,,20,,,,,
PL0,51.621244,-115.608378,420.215179,,,25.952360,306.286652,,,,,20,,,,,,,20,,,,,
PL0,51.621244,-115.608378,438.556976,,,17.125889,54.558044,,,,,20,,,,,,,20,,,,,
PL0,51.621244,-115.608378,401.607605,,,39.151585,63.859837,,,,,20,,,,,,,20,,,,,
PCH,51.621244,-115.608378,391.683533,,,23.599001,23.615170,,,,,4,,,,,,,20,,,,,
PL0,51.621244,-115.608378,389.000000,,,16.942015,344.433716,,,,,20,,,,,,,20,,,,,
PL0,51.621244,-115.608378,397.746826,,,32.169407,285.751801,,,,,20,,,,,,,20,,,,,
PL0,51.621244,-115.608378,430.291138,,,28.723986,240.234329,,,,,20,,,,,,,20,,,,,
MT0,51.621244,-115.608378,431.000000,,,15.304887,170.612991,,,,,6,,,,,,,20,,,,,
PL0,51.621244,-115.608378,426.962036,,,26.110308,119.341805,,,,,20,,,,,,,20,,,,,
PL0,51.621244,-115.608378,400.645569,,,36.170376,86.103432,,,,,20,,,,,,,20,,,,,
PL0,51.621244,-115.608378,378.835449,,,22.758787,47.188034,,,,,20,,,,,,,20,,,,,
MT0,51.621244,-115.608378,378.379761,,,14.467092,19.667910,,,,,6,,,,,,,20,,,,,
MT0,51.621244,-115.608378,372.341766,,,15.313131,77.647636,,,,,6,,,,,,,20,,,,,
MT0,51.621244,-115.608378,358.430389,,,35.104290,96.861534,,,,,6,,,,,,,20,,,,,
MT0,51.621244,-115.608378,325.860748,,,45.445843,90.251007,,,,,6,,,,,,,20,,,,,
MT0,51.621244,-115.608378,297.822784,,,44.207485,92.245941,,,,,6,,,,,,,20,,,,,
MT0,51.621244,-115.608378,266.949371,,,36.142307,106.502296,,,,,6,,,,,,,20,,,,,
MT0,51.621244,-115.608378,251.607590,,,28.839096,124.434341,,,,,6,,,,,,,20,,,,,
MT0,51.621244,-115.608378,235.227844,,,26.779871,132.745697,,,,,6,,,,,,,20,,,,,
MT0,51.621244,-115.608378,225.379745,,,30.892546,119.205246,,,,,6,,,,,,,20,,,,,
PL0,51.621244,-115.608378,199.265823,,,39.669678,107.773598,,,,,20,,,,,,,20,,,,,
PCH,51.621244,-115.608378,175.000000,,,18.448837,80.489151,,,,,3,,,,,,,20,,,,,
PCH,51.621244,-115.608378,128.962021,,,7.514169,233.331161,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,137.000000,,,16.962799,243.616318,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,149.227844,,,17.240664,231.388184,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,154.966354,,,7.804373,231.221313,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,157.341766,,,7.814671,332.023865,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,159.855316,,,9.984213,358.021515,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,157.801468,,,15.811090,67.281754,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,140.405060,,,22.505529,78.597054,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,128.379745,,,15.413406,36.722374,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,128.113922,,,22.207281,334.720276,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,141.027084,,,26.208773,319.637817,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,150.750046,,,19.894997,11.405596,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,135.780167,,,19.999878,65.621315,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,126.455696,,,7.177697,260.280487,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,145.215195,,,31.176218,273.722626,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,167.945679,,,28.100349,301.615631,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,177.128830,,,17.889397,7.611390,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,164.785614,,,27.830303,68.992119,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,142.480377,,,28.796112,113.278717,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,129.508408,,,13.411460,120.484459,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,127.066818,,,13.211607,333.878540,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,137.265823,,,16.655594,326.864014,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,139.208786,,,6.717393,42.157024,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,131.253159,,,8.442437,95.420471,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,128.000000,,,1.690785,92.246292,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,129.000000,,,5.229829,270.000000,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,134.974686,,,3.143666,315.292572,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,131.949371,,,4.723568,71.520195,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,129.000000,,,3.317685,63.201481,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,128.000000,,,0.923061,35.881123,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,128.278488,,,12.032608,270.991913,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,144.044708,,,27.803061,304.016113,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,159.012665,,,33.896812,296.340881,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,184.556961,,,33.812332,281.728333,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,203.164551,,,32.125626,278.780457,,,,,4,,,,,,,20,,,,,
PL0,51.621244,-115.608378,226.898727,,,38.239986,253.754913,,,,,22,,,,,,,20,,,,,
PL0,51.621244,-115.608378,252.126587,,,39.941010,248.416061,,,,,22,,,,,,,20,,,,,
PCH,51.621244,-115.608378,276.430389,,,32.849506,268.669556,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,295.924042,,,24.620117,311.405426,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,301.057678,,,13.442588,349.439789,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,299.209595,,,35.420948,346.111420,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,312.396576,,,43.631546,336.494110,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,322.417725,,,39.937870,341.449249,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,329.341766,,,22.253637,304.724548,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,346.810272,,,21.712254,6.655520,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,325.985748,,,44.386944,43.401653,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,306.136200,,,36.826263,47.769642,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,289.620239,,,32.901001,11.950390,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,297.050629,,,38.660576,14.531380,,,,,4,,,,,,,20,,,,,
PCH,51.621244,-115.608378,276.683533,,,32.813381,0.348021,,,,,4,,,,,,,20,,,,,
