Scenario,datetime,WS,WD,TMP,RH
ERA,27-01-2021 14:00,85.389,295.86,20.436,41.722
ERA,27-01-2021 15:00,89.708,292.31,20.824,39.302
ERA,27-01-2021 16:00,75.434,292.46,20.887,37.93
ERA,27-01-2021 17:00,77.556,293.55,20.825,37.807
ERA,27-01-2021 18:00,7.839,283.57,20.211,40.213
ERA,27-01-2021 19:00,67.187,271.915,19.089,45.616
ERA,27-01-2021 20:00,52.168,266.155,17.688,51.684
ERA,27-01-2021 21:00,32.434,267.593,16.255,57.737
ERA,27-01-2021 22:00,1.418,257.617,15.284,61.075
ERA,27-01-2021 23:00,1.096,175.43,14.87,62.205
ERA,28-01-2021 0:00,18.621,117.64,14.005,66.948
ERA,28-01-2021 1:00,22.258,103.97,13.852,65.766
