Instance,datetime,WS,WD,TMP,RH
CHI2015,30-01-2014 12:00,9.91384615384615,267.769230769231,31.100000381469727,41.0
CHI2015,30-01-2014 13:00,10.1630769230769,281.615384615385,33.29999923706055,40.6
CHI2015,30-01-2014 14:00,10.4123076923077,295.461538461538,28.200000762939453,47.4
CHI2015,30-01-2014 15:00,10.6615384615385,309.307692307692,28.700000762939453,57.0
CHI2015,30-01-2014 16:00,10.9107692307692,323.153846153846,30.700000762939453,37.6
CHI2015,30-01-2014 17:00,11.16,337.0,33.20000076293945,31.6
CHI2015,30-01-2014 18:00,6.48,315.0,30.700000762939453,37.6
CHI2015,30-01-2014 19:00,7.92,337.0,30.0,44.8
CHI2015,30-01-2014 20:00,9.72,337.0,31.399999618530273,39.0
CHI2015,30-01-2014 21:00,7.92,315.0,28.299999237060547,63.8
CHI2015,30-01-2014 22:00,7.92,337.0,30.0,44.0
CHI2015,30-01-2014 23:00,7.92,337.0,29.5,51.6
CHI2015,31-01-2014 0:00,19.44,270.0,29.100000381469727,47.0
CHI2015,31-01-2014 1:00,19.44,292.0,28.899999618530273,52.6
CHI2015,31-01-2014 2:00,16.2,292.0,34.70000076293945,29.6
CHI2015,31-01-2014 3:00,16.2,292.0,30.799999237060547,54.4
CHI2015,31-01-2014 4:00,15.96,285.571428571429,30.299999237060547,42.8
CHI2015,31-01-2014 5:00,15.72,279.142857142857,29.399999618530273,63.0
CHI2015,31-01-2014 6:00,15.48,272.714285714286,31.799999237060547,34.2
CHI2015,31-01-2014 7:00,15.24,266.285714285714,30.299999237060547,42.8
CHI2015,31-01-2014 8:00,15.0,259.857142857143,28.700000762939453,26.2
CHI2015,31-01-2014 9:00,14.76,253.428571428571,30.700000762939453,37.6
CHI2015,31-01-2014 10:00,14.52,247.0,28.399999618530273,63.2
CHI2015,31-01-2014 11:00,14.28,240.571428571429,31.700000762939453,38.2
CHI2015,31-01-2014 12:00,14.04,234.142857142857,31.399999618530273,39.0
CHI2015,31-01-2014 13:00,13.8,227.714285714286,28.899999618530273,47.4
CHI2015,31-01-2014 14:00,13.56,221.285714285714,28.399999618530273,63.2
CHI2015,31-01-2014 15:00,13.32,214.857142857143,33.0,37.0
CHI2015,31-01-2014 16:00,13.08,208.428571428571,30.399999618530273,35.6
CHI2015,31-01-2014 17:00,12.84,202.0,28.399999618530273,63.2
CHI2015,31-01-2014 18:00,12.6,195.571428571429,28.399999618530273,63.2
CHI2015,31-01-2014 19:00,12.36,189.142857142857,28.700000762939453,67.0
CHI2015,31-01-2014 20:00,12.12,182.714285714286,28.700000762939453,57.0
CHI2015,31-01-2014 21:00,11.88,176.285714285714,28.200000762939453,47.4
CHI2015,31-01-2014 22:00,11.64,169.857142857143,30.799999237060547,54.4
CHI2015,31-01-2014 23:00,11.4,163.428571428571,28.799999237060547,54.6
CHI2015,01-02-2014 0:00,11.16,157.0,28.299999237060547,63.8
CHI2015,01-02-2014 1:00,11.16,180.0,28.200000762939453,47.4
CHI2015,01-02-2014 2:00,9.72,180.0,31.600000381469727,37.6
CHI2015,01-02-2014 3:00,11.16,180.0,31.100000381469727,41.0
CHI2015,01-02-2014 4:00,9.72,157.0,35.400001525878906,32.2
CHI2015,01-02-2014 5:00,9.72,157.0,28.700000762939453,57.0
CHI2015,01-02-2014 6:00,9.72,135.0,29.100000381469727,47.0
CHI2015,01-02-2014 7:00,9.72,157.0,28.799999237060547,54.6
CHI2015,01-02-2014 8:00,6.48,180.0,30.700000762939453,37.6
CHI2015,01-02-2014 9:00,4.68,180.0,31.399999618530273,39.0
CHI2015,01-02-2014 10:00,4.68,337.0,28.299999237060547,57.0
CHI2015,01-02-2014 11:00,12.96,315.0,34.099998474121094,32.2
CHI2015,01-02-2014 12:00,12.96,337.0,29.5,51.6
CHI2015,01-02-2014 13:00,12.96,315.0,29.399999618530273,63.0
CHI2015,01-02-2014 14:00,16.2,315.0,29.299999237060547,54.0
CHI2015,01-02-2014 15:00,19.44,337.0,30.299999237060547,42.8
CHI2015,01-02-2014 16:00,19.44,315.0,28.600000381469727,55.0
CHI2015,01-02-2014 17:00,16.2,315.0,28.700000762939453,26.2
