Instance,datetime,WS,WD,TMP,RH
CHI2015,24-03-2014 17:00,11.16,337,29.600000381469727,46.6
CHI2015,24-03-2014 18:00,4.68,315,28.700000762939453,26.2
CHI2015,24-03-2014 19:00,7.92,180,31.799999237060547,34.2
CHI2015,24-03-2014 20:00,7.92,135,31.700000762939453,38.2
CHI2015,24-03-2014 21:00,9.72,157,29.200000762939453,41.0
CHI2015,24-03-2014 22:00,11.16,157,31.100000381469727,41.0
CHI2015,24-03-2014 23:00,11.16,180,29.5,51.6
CHI2015,25-03-2014 0:00,11.16,157,30.700000762939453,37.6
CHI2015,25-03-2014 1:00,12.96,157,28.299999237060547,57.6
CHI2015,25-03-2014 2:00,12.96,180,28.200000762939453,67.6
CHI2015,25-03-2014 3:00,12.96,202,28.200000762939453,47.4
CHI2015,25-03-2014 4:00,12.96,180,28.200000762939453,67.6
CHI2015,25-03-2014 5:00,14.4,180,31.600000381469727,39.0
CHI2015,25-03-2014 6:00,14.4,180,31.799999237060547,38.8
CHI2015,25-03-2014 7:00,12.96,180,28.899999618530273,52.6
CHI2015,25-03-2014 8:00,12.96,157,32.0,45.0
CHI2015,25-03-2014 9:00,9.72,180,28.100000381469727,62.2
CHI2015,25-03-2014 10:00,6.48,180,28.799999237060547,54.6
CHI2015,25-03-2014 11:00,9.72,135,28.600000381469727,55.0
CHI2015,25-03-2014 12:00,9.72,135,28.100000381469727,58.2
CHI2015,25-03-2014 13:00,9.72,180,29.600000381469727,46.6
CHI2015,25-03-2014 14:00,9.72,180,28.700000762939453,57.0
CHI2015,25-03-2014 15:00,9.72,157,28.299999237060547,59.2
CHI2015,25-03-2014 16:00,7.92,225,30.200000762939453,49.8
CHI2015,25-03-2014 17:00,9.72,225,31.799999237060547,34.2
CHI2015,25-03-2014 18:00,11.16,225,28.600000381469727,55.0
CHI2015,25-03-2014 19:00,11.16,202,29.200000762939453,37.0
CHI2015,25-03-2014 20:00,9.72,135,28.299999237060547,57.0
CHI2015,25-03-2014 21:00,7.92,135,28.899999618530273,52.6
CHI2015,25-03-2014 22:00,4.68,135,28.600000381469727,55.0
CHI2015,25-03-2014 23:00,4.68,135,30.799999237060547,54.4
CHI2015,26-03-2014 0:00,6.48,135,30.0,44.8
CHI2015,26-03-2014 1:00,7.92,135,29.299999237060547,54.0
CHI2015,26-03-2014 2:00,7.92,135,28.299999237060547,57.6
CHI2015,26-03-2014 3:00,9.72,135,28.200000762939453,67.6
CHI2015,26-03-2014 4:00,9.72,157,29.200000762939453,41.0
CHI2015,26-03-2014 5:00,9.72,157,29.100000381469727,44.0
CHI2015,26-03-2014 6:00,9.72,157,33.20000076293945,31.6
CHI2015,26-03-2014 7:00,7.92,157,31.799999237060547,34.2
CHI2015,26-03-2014 8:00,9.72,157,30.299999237060547,42.8
CHI2015,26-03-2014 9:00,6.48,157,31.399999618530273,39.0
CHI2015,26-03-2014 10:00,11.16,90,33.20000076293945,31.6
CHI2015,26-03-2014 11:00,11.16,90,28.299999237060547,57.0
CHI2015,26-03-2014 12:00,9.72,90,29.600000381469727,46.6
CHI2015,26-03-2014 13:00,9.72,112,29.700000762939453,52.4
CHI2015,26-03-2014 14:00,7.92,112,30.0,44.0
CHI2015,26-03-2014 15:00,6.48,315,28.299999237060547,59.2
CHI2015,26-03-2014 16:00,11.16,337,33.20000076293945,31.6
CHI2015,26-03-2014 17:00,11.16,315,30.299999237060547,42.8
CHI2015,26-03-2014 18:00,4.68,202,31.399999618530273,39.0
CHI2015,26-03-2014 19:00,6.48,180,30.0,44.8
CHI2015,26-03-2014 20:00,9.72,157,28.200000762939453,67.6
CHI2015,26-03-2014 21:00,9.72,157,28.100000381469727,48.8
CHI2015,26-03-2014 22:00,11.16,180,28.399999618530273,60.6
CHI2015,26-03-2014 23:00,11.16,157,28.299999237060547,57.6
CHI2015,27-03-2014 0:00,7.92,180,28.600000381469727,55.0
CHI2015,27-03-2014 1:00,4.68,292,28.299999237060547,63.8
CHI2015,27-03-2014 2:00,1.8,292,30.200000762939453,49.8
CHI2015,27-03-2014 3:00,3.24,315,29.100000381469727,47.0
CHI2015,27-03-2014 4:00,3.24,315,29.399999618530273,63.0
CHI2015,27-03-2014 5:00,4.68,315,31.399999618530273,39.0
CHI2015,27-03-2014 6:00,6.48,157,31.700000762939453,38.2
CHI2015,27-03-2014 7:00,4.68,157,30.200000762939453,49.8
CHI2015,27-03-2014 8:00,4.68,157,28.100000381469727,48.8
CHI2015,27-03-2014 9:00,3.24,292,31.799999237060547,34.2
CHI2015,27-03-2014 10:00,4.68,292,31.399999618530273,39.0
CHI2015,27-03-2014 11:00,7.92,315,28.399999618530273,60.6
CHI2015,27-03-2014 12:00,12.96,315,28.899999618530273,47.4
CHI2015,27-03-2014 13:00,12.96,315,30.299999237060547,42.8
CHI2015,27-03-2014 14:00,14.4,337,28.700000762939453,57.0
