Scenario,datetime,WS,WD,TM,RH
DMC 1,2022-12-21 16:00:00,16.6,360,24.7,20
DMC 1,2022-12-21 17:00:00,18.8,360,24.6,20
DMC 1,2022-12-21 18:00:00,12.1,360,23.6,20
DMC 1,2022-12-21 19:00:00,10.4,360,22.1,20
DMC 1,2022-12-21 20:00:00,5.2,360,19.4,20
DMC 1,2022-12-21 21:00:00,5.5,360,17.9,20
DMC 1,2022-12-21 22:00:00,8.2,360,16.4,20
DMC 1,2022-12-21 23:00:00,12.7,360,15.6,20
DMC 1,2022-12-22 00:00:00,15.7,360,15.3,20
DMC 1,2022-12-22 01:00:00,15.7,360,14.8,20
DMC 1,2022-12-22 02:00:00,18.9,360,14.7,20
DMC 1,2022-12-22 03:00:00,16.9,360,14.6,20
