Scenario,datetime,WS,WD,FireScenario
1,10/1/2017 12:00,1.08,79.0,EWE
1,10/1/2017 13:00,2.16,304.0,EWE
1,10/1/2017 14:00,2.52,326.0,EWE
1,10/1/2017 15:00,1.8,326.0,EWE
1,10/1/2017 16:00,3.24,293.0,EWE
1,10/1/2017 17:00,6.48,326.0,EWE
1,10/1/2017 18:00,3.6,225.0,EWE
1,10/1/2017 19:00,0.36,315.0,EWE
1,10/1/2017 20:00,0.36,90.0,EWE
1,10/1/2017 21:00,0.0,293.0,EWE
1,10/1/2017 22:00,0.0,203.0,EWE
1,10/1/2017 23:00,0.0,34.0,EWE
1,10/2/2017 0:00,0.0,293.0,EWE
1,10/2/2017 1:00,0.0,45.0,EWE
1,10/2/2017 2:00,0.0,68.0,EWE
