Scenario,datetime,WS,WD,FireScenario
1,10/29/2017 9:00,0.0,113,EWE
1,10/29/2017 10:00,0.36,113,EWE
1,10/29/2017 11:00,1.08,34,EWE
1,10/29/2017 12:00,1.44,326,EWE
1,10/29/2017 13:00,1.44,146,EWE
1,10/29/2017 14:00,1.44,68,EWE
1,10/29/2017 15:00,0.72,169,EWE
1,10/29/2017 16:00,0.36,191,EWE
1,10/29/2017 17:00,0.36,158,EWE
1,10/29/2017 18:00,0.0,214,EWE
1,10/29/2017 19:00,0.0,79,EWE
1,10/29/2017 20:00,0.0,79,EWE
1,10/29/2017 21:00,0.0,180,EWE
1,10/29/2017 22:00,0.0,113,EWE
1,10/29/2017 23:00,0.0,146,EWE
1,10/30/2017 0:00,0.0,236,EWE
1,10/30/2017 1:00,0.0,90,EWE
1,10/30/2017 2:00,0.0,135,EWE
