fueltype,lat,lon,elev,ws,waz,ps,saz,cur,cbd,cbh,ccf,ftypeN,fmc,py,jd,jd_min,pc,pdf,time,ffmc,bui,gfl,pattern,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.811348,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.560618,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.551507,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.933587,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.911466,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.653325,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.953442,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.847276,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.399338,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.110239,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.987423,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.317319,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.806072,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.070745,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.592477,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.463160,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.793115,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.027333,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.319339,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.115202,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.591909,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.068509,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.454555,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.981771,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.716695,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.293261,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.260290,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.690790,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.681232,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.520525,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.665198,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.447115,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.062765,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.547491,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.138326,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.128191,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.708164,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.681221,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.361107,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.303694,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.918819,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.332657,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.467740,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.807226,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.687881,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.181721,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.177545,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.742281,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.591008,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.057774,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.265453,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.542678,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.257118,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.049847,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.854534,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.673912,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.167684,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.564697,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.902048,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.069804,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.916589,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.811432,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.466936,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.341209,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.506035,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.551747,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.015467,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.121341,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.816269,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.017964,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.247402,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.768327,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.843228,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.004296,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.619104,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.145007,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.537281,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.800930,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.528116,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.488211,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.327770,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.989446,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.451480,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.431701,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.597086,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.751650,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.043802,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.991018,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.511316,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.827882,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.536686,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.093232,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.465047,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.013726,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.328346,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.523346,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.301625,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.686471,,,,,20,,,,,
GR1,51.621244,-115.608378,1.000000,,,,,,,,,101,,0.554168,,,,,20,,,,,
