Scenario,datetime,WS,WD,FireScenario
1,10/7/2017 21:00,0.0,225,EWE
1,10/7/2017 22:00,0.0,113,EWE
1,10/7/2017 23:00,0.0,146,EWE
1,10/8/2017 0:00,0.0,203,EWE
1,10/8/2017 1:00,0.0,214,EWE
1,10/8/2017 2:00,0.0,236,EWE
1,10/8/2017 3:00,0.0,225,EWE
1,10/8/2017 4:00,0.0,248,EWE
1,10/8/2017 5:00,0.0,68,EWE
1,10/8/2017 6:00,0.0,315,EWE
1,10/8/2017 7:00,0.0,45,EWE
1,10/8/2017 8:00,0.0,90,EWE
1,10/8/2017 9:00,0.0,124,EWE
1,10/8/2017 10:00,0.0,113,EWE
1,10/8/2017 11:00,0.0,326,EWE
1,10/8/2017 12:00,0.36,259,EWE
1,10/8/2017 13:00,2.52,225,EWE
1,10/8/2017 14:00,2.16,146,EWE
1,10/8/2017 15:00,5.04,236,EWE
1,10/8/2017 16:00,5.4,281,EWE
1,10/8/2017 17:00,3.96,191,EWE
1,10/8/2017 18:00,0.36,191,EWE
1,10/8/2017 19:00,0.0,349,EWE
1,10/8/2017 20:00,0.0,45,EWE
1,10/8/2017 21:00,0.0,349,EWE
1,10/8/2017 22:00,0.0,349,EWE
1,10/8/2017 23:00,0.0,349,EWE
1,10/9/2017 0:00,0.0,34,EWE
1,10/9/2017 1:00,0.0,34,EWE
1,10/9/2017 2:00,0.0,34,EWE
1,10/9/2017 3:00,0.0,34,EWE
1,10/9/2017 4:00,0.0,34,EWE
1,10/9/2017 5:00,0.0,169,EWE
1,10/9/2017 6:00,0.0,169,EWE
1,10/9/2017 7:00,0.0,315,EWE
1,10/9/2017 8:00,0.0,23,EWE
1,10/9/2017 9:00,0.0,45,EWE
1,10/9/2017 10:00,0.0,113,EWE
1,10/9/2017 11:00,0.72,68,EWE
1,10/9/2017 12:00,0.36,248,EWE
