Scenario,datetime,WS,WD,FireScenario
data/Zona_60/60_28052007,2007-05-27,8,134,1.0
data/Zona_60/60_28052007,2007-05-27,7,132,1.0
data/Zona_60/60_28052007,2007-05-27,3,52,1.0
data/Zona_60/60_28052007,2007-05-27,2,243,1.0
data/Zona_60/60_28052007,2007-05-27,7,300,1.0
data/Zona_60/60_28052007,2007-05-27,1,138,1.0
data/Zona_60/60_28052007,2007-05-27,7,107,1.0
data/Zona_60/60_28052007,2007-05-27,4,145,1.0
data/Zona_60/60_28052007,2007-05-27,5,173,1.0
data/Zona_60/60_28052007,2007-05-27,7,255,1.0
data/Zona_60/60_28052007,2007-05-27,10,228,1.0
data/Zona_60/60_28052007,2007-05-27,15,267,1.0
data/Zona_60/60_28052007,2007-05-27,14,279,1.0
data/Zona_60/60_28052007,2007-05-27,22,206,1.0
data/Zona_60/60_28052007,2007-05-27,19,207,1.0
data/Zona_60/60_28052007,2007-05-27,16,213,1.0
data/Zona_60/60_28052007,2007-05-27,15,218,1.0
data/Zona_60/60_28052007,2007-05-27,15,218,1.0
data/Zona_60/60_28052007,2007-05-27,14,228,1.0
data/Zona_60/60_28052007,2007-05-27,5,258,1.0
data/Zona_60/60_28052007,2007-05-27,16,297,1.0
data/Zona_60/60_28052007,2007-05-27,27,303,1.0
data/Zona_60/60_28052007,2007-05-27,27,297,1.0
data/Zona_60/60_28052007,2007-05-27,28,283,1.0
data/Zona_60/60_28052007,2007-05-28,20,263,1.0
data/Zona_60/60_28052007,2007-05-28,18,262,1.0
data/Zona_60/60_28052007,2007-05-28,7,269,1.0
data/Zona_60/60_28052007,2007-05-28,2,280,1.0
data/Zona_60/60_28052007,2007-05-28,10,256,1.0
data/Zona_60/60_28052007,2007-05-28,12,250,1.0
data/Zona_60/60_28052007,2007-05-28,21,273,1.0
data/Zona_60/60_28052007,2007-05-28,32,289,1.0
data/Zona_60/60_28052007,2007-05-28,26,286,1.0
data/Zona_60/60_28052007,2007-05-28,24,291,1.0
data/Zona_60/60_28052007,2007-05-28,25,294,1.0
data/Zona_60/60_28052007,2007-05-28,30,303,1.0
data/Zona_60/60_28052007,2007-05-28,28,310,1.0
data/Zona_60/60_28052007,2007-05-28,32,309,1.0
data/Zona_60/60_28052007,2007-05-28,33,302,1.0
data/Zona_60/60_28052007,2007-05-28,33,306,1.0
data/Zona_60/60_28052007,2007-05-28,29,299,1.0
data/Zona_60/60_28052007,2007-05-28,30,302,1.0
data/Zona_60/60_28052007,2007-05-28,28,296,1.0
data/Zona_60/60_28052007,2007-05-28,27,294,1.0
data/Zona_60/60_28052007,2007-05-28,27,299,1.0
data/Zona_60/60_28052007,2007-05-28,22,297,1.0
data/Zona_60/60_28052007,2007-05-28,23,311,1.0
data/Zona_60/60_28052007,2007-05-28,17,308,1.0
data/Zona_60/60_28052007,2007-05-29,8,310,1.0
data/Zona_60/60_28052007,2007-05-29,3,344,1.0
data/Zona_60/60_28052007,2007-05-29,3,7,1.0
data/Zona_60/60_28052007,2007-05-29,6,343,1.0
data/Zona_60/60_28052007,2007-05-29,7,8,1.0
data/Zona_60/60_28052007,2007-05-29,8,328,1.0
data/Zona_60/60_28052007,2007-05-29,1,211,1.0
data/Zona_60/60_28052007,2007-05-29,4,256,1.0
data/Zona_60/60_28052007,2007-05-29,13,309,1.0
data/Zona_60/60_28052007,2007-05-29,11,312,1.0
data/Zona_60/60_28052007,2007-05-29,15,302,1.0
data/Zona_60/60_28052007,2007-05-29,14,281,1.0
data/Zona_60/60_28052007,2007-05-29,17,263,1.0
data/Zona_60/60_28052007,2007-05-29,15,287,1.0
data/Zona_60/60_28052007,2007-05-29,14,294,1.0
data/Zona_60/60_28052007,2007-05-29,21,292,1.0
data/Zona_60/60_28052007,2007-05-29,21,293,1.0
data/Zona_60/60_28052007,2007-05-29,16,295,1.0
data/Zona_60/60_28052007,2007-05-29,15,294,1.0
data/Zona_60/60_28052007,2007-05-29,4,267,1.0
data/Zona_60/60_28052007,2007-05-29,8,105,1.0
data/Zona_60/60_28052007,2007-05-29,5,64,1.0
data/Zona_60/60_28052007,2007-05-29,6,28,1.0
data/Zona_60/60_28052007,2007-05-29,5,1,1.0
