Instance,datetime,WS,WD,TMP,RH
CHI2015,08-01-2014 18:00,12.96,337,29.399999618530273,63.0
CHI2015,08-01-2014 19:00,12.96,337,28.399999618530273,60.6
CHI2015,08-01-2014 20:00,12.96,337,31.600000381469727,37.6
CHI2015,08-01-2014 21:00,12.96,337,33.0,37.0
CHI2015,08-01-2014 22:00,12.96,337,28.200000762939453,57.2
CHI2015,08-01-2014 23:00,12.96,337,28.399999618530273,60.6
CHI2015,09-01-2014 0:00,12.96,337,28.700000762939453,26.2
CHI2015,09-01-2014 1:00,7.92,315,28.399999618530273,63.2
CHI2015,09-01-2014 2:00,9.72,315,30.399999618530273,35.6
CHI2015,09-01-2014 3:00,9.72,337,28.100000381469727,48.8
CHI2015,09-01-2014 4:00,7.92,292,32.0,45.0
CHI2015,09-01-2014 5:00,7.92,292,30.299999237060547,42.8
CHI2015,09-01-2014 6:00,6.48,247,30.399999618530273,35.6
CHI2015,09-01-2014 7:00,4.68,225,28.399999618530273,63.2
CHI2015,09-01-2014 8:00,7.92,202,29.5,51.6
CHI2015,09-01-2014 9:00,7.92,247,31.100000381469727,41.0
CHI2015,09-01-2014 10:00,4.68,270,34.099998474121094,32.2
CHI2015,09-01-2014 11:00,4.68,157,31.399999618530273,39.0
CHI2015,09-01-2014 12:00,3.24,157,34.099998474121094,32.2
CHI2015,09-01-2014 13:00,4.68,112,33.20000076293945,31.6
CHI2015,09-01-2014 14:00,6.48,135,28.299999237060547,25.8
CHI2015,09-01-2014 15:00,9.72,315,29.100000381469727,47.0
CHI2015,09-01-2014 16:00,11.16,315,28.600000381469727,55.0
CHI2015,09-01-2014 17:00,12.96,315,28.700000762939453,67.0
CHI2015,09-01-2014 18:00,12.96,315,30.100000381469727,43.6
CHI2015,09-01-2014 19:00,7.92,292,29.299999237060547,54.0
CHI2015,09-01-2014 20:00,9.72,270,30.100000381469727,43.6
CHI2015,09-01-2014 21:00,9.72,270,28.899999618530273,47.4
CHI2015,09-01-2014 22:00,9.12,240,30.299999237060547,42.8
CHI2015,09-01-2014 23:00,8.52,210,30.799999237060547,54.4
CHI2015,10-01-2014 0:00,7.92,180,28.799999237060547,54.6
CHI2015,10-01-2014 1:00,4.68,135,33.29999923706055,40.6
CHI2015,10-01-2014 2:00,6.48,180,28.200000762939453,47.4
CHI2015,10-01-2014 3:00,7.92,180,28.200000762939453,47.4
CHI2015,10-01-2014 4:00,9.72,180,28.100000381469727,62.2
CHI2015,10-01-2014 5:00,9.72,157,32.0,45.0
CHI2015,10-01-2014 6:00,11.16,157,28.5,63.8
CHI2015,10-01-2014 7:00,11.16,157,31.100000381469727,41.0
CHI2015,10-01-2014 8:00,9.72,157,30.200000762939453,49.8
CHI2015,10-01-2014 9:00,9.72,135,28.700000762939453,26.2
CHI2015,10-01-2014 10:00,4.68,135,31.700000762939453,38.2
CHI2015,10-01-2014 11:00,6.48,337,29.399999618530273,63.0
CHI2015,10-01-2014 12:00,6.48,337,30.399999618530273,35.6
CHI2015,10-01-2014 13:00,11.16,337,28.799999237060547,54.6
