sim,point
1,1019
2,129
3,994
4,258
5,1168
6,1313
7,1427
8,515
9,1380
10,644
11,7
12,773
13,37
14,902
15,166
16,300
17,266
18,1159
19,423
20,1175
21,703
22,13
23,681
24,1545
25,1469
26,1593
27,938
28,203
29,1067
30,162
31,1520
32,460
33,19
34,1037
35,456
36,1475
37,1582
38,846
39,1331
40,351
41,168
42,1405
43,368
44,100
45,1174
46,462
47,1481
48,1490
49,318
50,1014
51,1031
52,1001
53,1012
54,276
55,1141
56,491
57,1269
58,534
59,906
60,663
61,1527
62,762
63,56
64,920
65,618
66,37
67,313
68,1062
69,1266
70,1306
71,571
72,1435
73,699
74,676
75,828
76,1213
77,957
78,1577
79,1086
80,350
81,1214
82,336
83,920
84,607
85,193
86,736
87,1600
88,340
89,1068
90,486
91,258
92,1122
93,342
94,1251
95,515
96,199
97,574
98,458
99,773
100,1186
101,902
102,166
103,1030
104,1569
105,1159
106,786
107,606
108,1223
109,642
110,681
111,1545
112,545
113,151
114,938
115,203
116,1373
117,331
118,211
119,460
120,1325
121,1168
122,1453
123,504
124,1582
125,393
126,361
127,290
128,239
129,217
130,368
131,654
132,73
133,1513
134,626
135,1529
136,754
137,19
138,1185
139,1136
140,1012
141,276
142,660
143,79
144,1269
145,534
146,1398
147,1371
148,1527
149,1391
150,178
151,920
152,939
153,1049
154,313
155,1177
156,1402
157,1306
158,571
159,1435
160,699
161,816
162,828
163,878
164,672
165,135
166,1085
167,350
168,1547
169,479
170,1343
171,1403
172,1472
173,736
174,271
175,475
176,129
177,882
178,258
179,1122
180,972
181,98
182,515
183,1380
184,709
185,1266
186,773
187,37
188,902
189,166
190,1559
191,295
192,397
193,423
194,907
195,1352
196,1416
197,681
198,1545
199,567
200,309
